"","0","1","2","3","4","5","6","7","8","9"
"CD45RA",4.6146,2.066,5.1434,1.3686,5.0559,2.7513,3.4718,2.7005,2.6841,1.6701
"SELL",12.3721,0.9355,6.9117,4.2958,2.5835,0.9397,8.7098,3.2596,3.871,0.8264
"CD7",8.3434,1.2234,10.145,4.7124,6.8978,1.9903,5.6384,2.727,4.6463,2.0491
"CD45RO",0.0798,0.1297,0.2562,0.4951,0.0066,0.0988,0.0806,0.0543,0.0511,0.432
"IL7R",0.6288,0.0027,0.7673,0.0735,0.2551,0.0094,0.398,0.0058,0.2863,0.0023
"CD27",4.8194,0.276,2.8481,2.9596,4.255,0.2124,3.1303,0.2064,1.7197,1.1477
"CD28",0.2133,0.0085,0.9463,0.2903,0.1759,0.0659,0.4875,0.0122,0.1587,0.1362
"B3GAT1",0.0272,4.0182,0.0189,0.2133,0.0314,3.8588,0.0596,3.6415,0.3752,2.3206
"KLRG1",0.0168,0.9289,0.0587,1.3407,0.0416,1.1155,0.1365,0.9727,0.254,0.8895
"KIR3DL1",0.0239,0.0855,0.0179,0.1068,0.0331,0.1684,0.0553,7.562,0.0968,0.6597
"TIGIT",0.0078,0.125,0.0097,0.2881,0.0025,0.0999,0.0165,0.0785,0.0306,0.1324
"PDCD1",6e-04,0.0167,2e-04,0.0687,1e-04,0.0183,0.0082,0.0091,0,0.0117
"LAG3",0.0041,0.0114,0.0036,0.0473,0.0077,0.0158,0.004,0.0294,0.0131,0
"CD38",0.5467,0.5878,1.3294,1.3384,0.5538,0.6221,0.4511,0.7239,1.0035,1.4104
"ENTPD1",0.0236,0.0587,0.0265,0.2283,0.0429,0.0974,0.0379,0.0456,0.9421,0.195
"NT5E",1.2691,0.0198,2.2831,0.2182,1.618,0.0125,0.9933,0.0403,0.6488,0.0307
"NCAM1",0.0147,0.0196,0.0171,0.0365,0.0137,0.1229,0.0444,0.1116,0.2468,0.0633
"FCGR3A",0.0224,0.2256,0.0297,0.0874,0.0235,1.2027,0.0453,1.0796,0.8639,0.3946
"SIGLEC7",0.0651,0.1008,0.0723,0.1055,0.069,0.3098,0.1145,0.1069,2.9847,0.063
"TCR-AB",0.7419,1.3508,1.1113,0.8261,0.786,0.6032,0.6346,0.9153,0.5872,1.31
"TCR-vA7.2",0.0154,0.0172,0.0151,0.0172,0.0176,0.0148,0.0291,0.0275,0.0463,0.0365
"TCR-vD2",0.0225,0.0191,0.0218,0.0447,0.0127,0.2227,0.0458,0.068,0.1034,0
