"","Naïve CD8","Naïve CD8 2","Naïve CD8 3","Naïve CD8 4","Tscm CD8","Naïve Intermediate CD8","TEM CD8","TEMRA CD8","CD16+ Effector CD8","KIR+ innate-like CD8"
"CCR7",0.984641239050807,0.901559200170989,1,0.90532285631679,0.789768275048942,0.897238618476015,0.224181233163576,0,0.018212192654385,0.00949939940607596
"SELL",0.981200527116386,0.759736742110987,0.400622379985809,0.867493572554998,0.763844518390223,1,0.0892223339395794,0.00149422465123496,0,0.0303554037717897
"TCF7",0.818506738492144,0.815135719181867,0.472556610748419,0.678331470560321,1,0.986937940017116,0.26298890591405,0,0.0548509025466579,0.0982059058931727
"LEF1",0.956284903431601,0.889585288669369,0.737700393519922,0.816249382795498,1,0.939613788857066,0.118766170931446,0,0.00731078385918204,0.0176957915054666
"KLF2",0.846128563264943,0,0.694409636692131,0.964370381208714,0.0615491424008108,0.314600208559114,0.42144341548108,0.853529114823639,0.648397619949566,1
"S1PR1",0.936227188392291,0,0.602249658269101,1,0.00904838025656257,0.288888975012232,0.225466397189111,0.158045230366449,0.420630285583769,0.0559796892609322
"BACH2",0.45316474576368,0.33302725896947,1,0.420968165900749,0.203925749816758,0.251270174124209,0.288842797960976,0,0.0843745503097737,0.102389415037237
"BCL2",0.268313463701569,0.264454581544968,1,0.35822693206695,0.249001109111041,0.102381531045788,0.135416681832784,0,0.0623267474828414,0.128033237633994
"IL7R",1,0.636543194133402,0.700370822922493,0.65537053178367,0.885836795726408,0.835482081912288,0.242744489146931,0,0.0325337947776554,0.016163730859908
"ID3",0.503887823141745,0.385422581288056,0.596295643418936,1,0.337741410631241,0.386918106551897,0.986964892781791,0,0.0276711667657438,0.0896532497236851
"HLA-DRA",0.00148874325710138,0.0142827107603918,0,0.0396056112727818,0.000574184632173993,0.0193046830779347,1,0.589326348148048,0.394795429603788,0.407221918375165
"CD38",0.0807512436859815,0.291264438277381,0.0641328425218034,0,0.187365093773589,0.147193286580538,0.810035028785927,0.838200990950052,1,0.842940794485652
"MKI67",0.019694563627728,0.0269452057144159,0.0245471830158263,0,0.140969098428998,0.087069751571653,1,0.241147189741109,0.0715431789362175,0.163995929992584
"GZMB",0.000306202758417407,0,0.000153910720440708,0.00339480351723342,0.00345998586964684,0.000416056252482732,0.281716277092039,1,0.844541833929609,0.900714560898089
"GNLY",0.000566591499189157,0.00056433550396585,0.000587919620553425,0.00613834013164226,0.0033417089642977,0,0.286243793068179,0.675896183993753,0.743935347962351,1
"PRF1",0.00599029201093728,0.001278775889323,0.00146131362084931,0,0.0021323669400777,0.00727563523380089,0.334557199354314,1,0.914821206744247,0.785800924723139
"NKG7",0.00154306668581666,0.000136210687863484,0,0.00222306580730106,0.00544072007533451,0.00286790183229103,0.49106007014019,1,0.783741345479005,0.80908901799661
"GZMA",0.0576460147315015,0.106651262458837,0,0.0509197976772309,0.196818954344935,0.158377507821499,0.693185869934886,1,0.759449238126803,0.594343581420901
"FGFBP2",0.0480408529054934,0.111535531391363,0,0.0051695586228967,0.0659396389827744,0.0997859889879341,0.343736868576855,1,0.815488579314069,0.633454402846946
"GZMK",0.310288562281789,0.454813237647467,0.0267350202165084,0.596239771693553,0.45629527402119,0.373437724243945,1,0.00101768043278501,0.0744797326590817,0
"TBX21",0,0.00653224431108652,0.00193067516369327,0.0120136122003576,0.00596312772752466,0.00271845450538303,0.400441186585948,1,0.918309610644636,0.936526615604877
"ZEB2",0.00192696858622997,0.000716618567939864,0.00790540473181746,0.0164662101890863,0.00357719883553858,0,0.531210961282938,0.883487219282093,0.92744048032431,1
"PRDM1",0.00546559547390962,0.00848252691629118,0.0110283174938189,0.00930146243773752,0.00358473655627394,0,0.2600188205746,0.94190364966549,1,0.933934269531935
"CX3CR1",0.000505651006547645,0.00134539809730232,0,0,0,0,0.136955651122666,1,0.683751229344405,0.41411370075259
"EOMES",0.0235660258474998,0.0116341606056207,0,0.0385342691199015,0.0587513989127524,0.000277459486721714,0.995791687607287,1,0.851297174703295,0.555835329196878
"TOX",0.200013478184736,0.198043591114362,0,0.169147206790068,0.206070791883552,0.187958595472713,0.97301321692559,0.886112647768993,1,0.521070680326027
"PDCD1",0.00123463241427933,0.00130161516618304,0.00762428418250674,0.0706784914894542,0.00737490941368163,0,0.98450403277796,0.953926460303644,1,0.635968442342972
"TIGIT",0.00524404132076444,0,0.0131693588732565,0.0805686486960363,0.0195520586163685,0.00208996804050614,1,0.695841706386197,0.750140793747145,0.755000853913075
"HAVCR2",0.00888433421913136,0.0227582679582229,0,0.0100675985490152,0.00644025010260885,0.00249952661624601,0.26336855572404,0.7596003464903,0.97874260043983,1
"LAG3",0.00671000120832688,0.0198466758544769,0,0.0295714547767204,0.0300397126179008,0.0188115052403908,0.633587094508236,1,0.794173623346872,0.921510530384001
"CXCL13",0.0574331911031851,0.021160571573142,0,0,0,0.0240432569568549,1,0.181277489323146,0.337182377375294,0
"NCAM1",0.0308537621391323,0,0,0.0356480890185776,0.0722048320417841,0,0.0116037166969958,0.139369557085471,1,0.728081346793098
"FCGR3A",0.00145436275604758,0.00162326358007949,0.000751723061405398,0,0.00337104549717257,0.00164875879302815,0.198125168229654,0.97947328338991,1,0.871100218316582
"KLRD1",0.00227120755980991,0.00257720940220218,0.00296993557455784,0.0189267335126252,0.00878286170010953,0,0.35045382620711,0.797430662049361,0.791327730011885,1
"TYROBP",0.00188316583382388,0.00624053455358078,0,0.00823953425768566,0.0162619459627156,0.00330788365520735,0.0750883964001974,0.485543227203607,0.532501719324975,1
