"Annotation","cloneSize","Freq"
"Naive/Bystander","Hyperexpanded (100 < X <= 500)",0
"Naive (hypoxic)","Hyperexpanded (100 < X <= 500)",0
"Transitional Tem","Hyperexpanded (100 < X <= 500)",0
"Activated Stem-like","Hyperexpanded (100 < X <= 500)",0
"TEMRA/Effector","Hyperexpanded (100 < X <= 500)",0
"Cycling Effector","Hyperexpanded (100 < X <= 500)",0
"MAIT","Hyperexpanded (100 < X <= 500)",0
"Naive/Bystander","Large (20 < X <= 100)",0
"Naive (hypoxic)","Large (20 < X <= 100)",0
"Transitional Tem","Large (20 < X <= 100)",0
"Activated Stem-like","Large (20 < X <= 100)",0
"TEMRA/Effector","Large (20 < X <= 100)",0
"Cycling Effector","Large (20 < X <= 100)",0
"MAIT","Large (20 < X <= 100)",0
"Naive/Bystander","Medium (5 < X <= 20)",0
"Naive (hypoxic)","Medium (5 < X <= 20)",0
"Transitional Tem","Medium (5 < X <= 20)",2
"Activated Stem-like","Medium (5 < X <= 20)",0
"TEMRA/Effector","Medium (5 < X <= 20)",13
"Cycling Effector","Medium (5 < X <= 20)",21
"MAIT","Medium (5 < X <= 20)",0
"Naive/Bystander","Small (1 < X <= 5)",1
"Naive (hypoxic)","Small (1 < X <= 5)",0
"Transitional Tem","Small (1 < X <= 5)",24
"Activated Stem-like","Small (1 < X <= 5)",151
"TEMRA/Effector","Small (1 < X <= 5)",92
"Cycling Effector","Small (1 < X <= 5)",108
"MAIT","Small (1 < X <= 5)",4
"Naive/Bystander","Single (0 < X <= 1)",2778
"Naive (hypoxic)","Single (0 < X <= 1)",214
"Transitional Tem","Single (0 < X <= 1)",396
"Activated Stem-like","Single (0 < X <= 1)",249
"TEMRA/Effector","Single (0 < X <= 1)",220
"Cycling Effector","Single (0 < X <= 1)",201
"MAIT","Single (0 < X <= 1)",171
"Naive/Bystander","None ( < X <= 0)",0
"Naive (hypoxic)","None ( < X <= 0)",0
"Transitional Tem","None ( < X <= 0)",0
"Activated Stem-like","None ( < X <= 0)",0
"TEMRA/Effector","None ( < X <= 0)",0
"Cycling Effector","None ( < X <= 0)",0
"MAIT","None ( < X <= 0)",0
