cluster,n_unsuppressed,n_suppressed,n_overlap,n_unsup_only,n_supp_only
0_CD4_T_cell,2740,4579,2145,595,2434
10_Memory_CD4_T_helper,541,2141,502,39,1639
11_Na_ve_B_cell,138,1238,102,36,1136
12_DNAM1_CD4_T_cell,512,1131,369,143,762
13_Transitional_B_cell,511,1991,334,177,1657
14_CD14hi_CD16_Monocyte,127,1463,68,59,1395
15_NK_cell_1,239,349,148,91,201
16_Gamma_Delta_1_T_cells,316,1355,283,33,1072
17_NK_cell_2,409,1090,352,57,738
18_DN_T_cell_1,65,1035,58,7,977
19_CD14_CD16hi_Monocyte,99,657,83,16,574
1_Memory_CD8_T_cell,2028,4487,1599,429,2888
20_T_reg,124,1055,119,5,936
21_Gamma_Delta_2_T_cells,54,747,52,2,695
22_CD69_B_cell,66,1510,52,14,1458
23_DN_T_cell_2,89,455,70,19,385
24_CD14lo_CD16lo_Monocyte,44,185,17,27,168
25_CD56bright_NK,1,260,0,1,260
26_DN_T_cell_3,37,541,37,0,504
27_GZMK_CD8_T_cell,49,324,46,3,278
28_DN_T_cell_4,36,202,24,12,178
29_DN_T_cell_5,40,421,32,8,389
2_Na_ve_CD4_T_cell_1,1640,2479,1205,435,1274
30_DN_T_cell_6,73,188,57,16,131
31_B_cell,1,80,1,0,79
32_Plasmablast,9,42,7,2,35
33_pDC,0,77,0,0,77
35_TNF_B_cell,5,0,0,5,0
3_IL2RB_NK_cell,945,2590,811,134,1779
4_IgD_IgM_B_cell,698,2405,520,178,1885
5_Na_ve_CD4_T_cell_2,1575,2873,1278,297,1595
6_Na_ve_CD8_T_cell,1253,1692,855,398,837
7_Memory_CD4_T_cell,928,2790,746,182,2044
8_CTL-like,1133,431,314,819,117
9_TRDV1_CTL-like,276,680,211,65,469
